Page 1/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
																			
Staphylococcus aureus																			
																			
Site:	ROUTINE																		
			S	R	I														
Amox/K Clav'ate			1	0	1														
Ampicillin			0	2	0														
Cefoxitin			1	0	0														
Cefuroxime			2	0	0														
Cephalophin			2	0	0														
Chloramphenico			2	0	0														
Ciprofloxacin			2	0	0														
Clindamycin			2	0	0														
Erythromycin			2	0	0														
Gentamicin			2	0	0														
Nitrofurantoin			1	0	1														
Norfloxacin			2	0	0														
Oxacillin			2	0	0														
Penicillin			0	2	0														
Sulfamethoxazole			2	0	0														
Vancomycin			1	0	1														
																			
Page 2/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Staphylococcus aureus																			
Site:																			
WOUND																			
						S	R	I											
Amox/K Clav'ate					0	0	2												
Cephalophin						1	0	0											
Chloramphenico					1	0	0												
Ciprofloxacin						2	0	0											
Clindamycin					2	0	0												
Erythromycin						2	0	0											
Gentamicin					2	0	0												
Nitrofurantoin						2	0	0											
Norfloxacin					2	0	0												
Oxacillin						0	1	0											
Penicillin					0	1	0												
Sulfamethoxazole						2	0	0											
Cefotaxime					1	0	0												
Ceftriaxone						0	0	1											
Cephalothin					1	0	0												
Vancomycin						1	0	0											
																			
																			
Page 3/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
																			
Pseudomonas species																			
																			
Site:	BLOOD-PEADITRIC																		
			S	R	I														
Amox/K Clav'ate			0	1	0														
Cefotaxime			0	1	0														
Ceftriaxone			0	1	0														
Ciprofloxacin			1	0	0														
Gentamicin			0	0	1														
Nitrofurantoin			0	1	0														
Norfloxacin			1	0	0														
Sulfamethoxazole			0	1	0														
																			
Page 4/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
																			
Moraxella lacunata																			
																			
Site:	BLOOD-AEROBIC																		
			S	R	I														
Cefotaxime			0	1	0														
Ceftriaxone			0	1	0														
Ciprofloxacin			0	1	0														
Imipenem			1	0	0														
Oxacillin			0	1	0														
Penicillin			1	0	0														
Sulfamethoxazole			0	1	0														
Tetracycline			1	0	0														
																			
Page 5/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Enterococcus faecalis																			
Site:																			
Urine																			
					S	R	I												
Amox/K Clav'ate					1	1	0												
Ciprofloxacin					0	1	1												
Erythromycin					1	1	0												
Nitrofurantoin					2	0	0												
Norfloxacin					0	2	0												
Sulfamethoxazole					1	1	0												
Vancomycin					2	0	0												
Chloramphenico					0	0	1												
Clindamycin					1	0	0												
Penicillin					0	1	0												
Tetracycline					0	1	0												
																			
																			
Page 6/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
																			
Klebsiella oxytoca																			
																			
Site:	BLOOD-PEADITRIC																		
			S	R	I														
Amox/K Clav'ate			0	1	0														
Cefotaxime			0	1	0														
Ceftriaxone			0	1	0														
Cefuroxime			0	1	0														
Chloramphenico			1	0	0														
Ciprofloxacin			0	1	0														
Gentamicin			0	1	0														
Imipenem			1	0	0														
Nitrofurantoin			0	0	1														
Norfloxacin			0	1	0														
Sulfamethoxazole			1	0	0														
Tetracycline			0	1	0														
																			
Page 7/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Streptococcus pyogenes (Group A)																			
Site:																			
WOUND																			
						S	R	I											
Amox/K Clav'ate					1	0	0												
Cefotaxime						3	0	0											
Ceftriaxone					3	0	0												
Clindamycin						3	0	0											
Erythromycin					2	0	1												
Sulfamethoxazole						0	3	0											
Vancomycin					1	0	2												
Ampicillin						1	0	0											
Chloramphenico					1	0	0												
Penicillin						1	0	0											
Tetracycline					0	1	0												
																			
																			
Page 8/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
																			
Staphylococcus lugdunensis																			
																			
Site:	BLOOD-PEADITRIC																		
			S	R	I														
Amox/K Clav'ate			5	0	0														
Cefuroxime			4	1	0														
Cephalophin			3	1	0														
Chloramphenico			4	1	0														
Ciprofloxacin			4	1	1														
Clindamycin			6	0	0														
Erythromycin			1	5	0														
Gentamicin			3	2	1														
Norfloxacin			4	1	1														
Oxacillin			1	2	0														
Penicillin			2	2	0														
Sulfamethoxazole			1	4	1														
Ampicillin			1	2	0														
Imipenem			4	0	0														
Nitrofurantoin			4	0	0														
Vancomycin			2	1	0														
Cefotaxime			1	1	0														
Ceftriaxone			1	1	0														
																			
Page 9/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Coagulase-negative Staphylococcus species																			
Site:																			
Urine																			
							S		R		I								
Amox/K Clav'ate						1		0		0									
Ampicillin							0		0		1								
Chloramphenico						1		0		0									
Ciprofloxacin							1		0		0								
Clindamycin						1		0		0									
Erythromycin							0		1		0								
Gentamicin						1		0		0									
Nitrofurantoin							1		0		0								
Norfloxacin						1		0		0									
Oxacillin							0		1		0								
Penicillin						0		1		0									
Sulfamethoxazole							0		1		0								
																			
																			
Page 10/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Proteus species																			
Site:																			
Urine																			
				S	R		I												
Amox/K Clav'ate				0	3		1												
Ampicillin				0	4		0												
Cefotaxime				2	2		0												
Ceftriaxone				2	2		0												
Cefuroxime				2	2		0												
Chloramphenico				3	0		1												
Ciprofloxacin				0	4		0												
Gentamicin				2	2		0												
Imipenem				4	0		0												
Nalidixic Acid				0	2		0												
Nitrofurantoin				4	0		0												
Norfloxacin				0	4		0												
Sulfamethoxazole				0	4		0												
																			
																			
Page 11/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Enterococcus faecalis																			
Site:																			
WOUND																			
				S	R		I												
Amox/K Clav'ate				0	1		0												
Cefuroxime				0	1		0												
Chloramphenico				1	0		0												
Ciprofloxacin				0	1		0												
Erythromycin				0	1		0												
Imipenem				0	1		0												
Nalidixic Acid				0	1		0												
Nitrofurantoin				1	0		0												
Norfloxacin				0	1		0												
Sulfamethoxazole				0	1		0												
Tetracycline				0	1		0												
Vancomycin				1	0		0												
																			
																			
Page 12/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Shigella boydii																			
Site:																			
STOOL																			
						S	R	I											
Amox/K Clav'ate					0	1	1												
Cefotaxime						2	0	0											
Ceftriaxone					2	0	0												
Cefuroxime						1	0	0											
Chloramphenico					2	0	0												
Ciprofloxacin						2	0	0											
Gentamicin					1	0	0												
Nalidixic Acid						1	0	0											
Nitrofurantoin					1	0	0												
Norfloxacin						2	0	0											
Sulfamethoxazole					1	1	0												
Tetracycline						1	0	0											
																			
																			
Page 13/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Streptococcus anginosus/milleri																			
Site:																			
WOUND																			
				S	R		I												
Cefotaxime				2	0		0												
Ceftriaxone				2	0		0												
Chloramphenico				2	0		0												
Clindamycin				2	0		0												
Erythromycin				2	0		0												
Penicillin				2	0		0												
Sulfamethoxazole				2	0		0												
Tetracycline				1	1		0												
Vancomycin				2	0		0												
Amox/K Clav'ate				1	0		0												
Ampicillin				1	0		0												
Cefuroxime				1	0		0												
																			
																			
Page 14/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
Staphylococcus aureus																			
Site:																			
W																			
						S	R		I										
Amox/K Clav'ate					1	0		0											
Cefuroxime					1	0		0											
Cephalophin					1	0		0											
Chloramphenico					1	0		0											
Ciprofloxacin					1	0		0											
Clindamycin					1	0		0											
Erythromycin					1	0		0											
Gentamicin					1	0		0											
Imipenem					1	0		0											
Nitrofurantoin					1	0		0											
Norfloxacin					1	0		0											
Oxacillin					0	1		0											
Sulfamethoxazole					1	0		0											
Tetracycline					1	0		0											
																			
																			
Page 15/176																			
																			
																			
																			
Sensitive/Resistant/Intermediate Count																			
																			
Klebsiella oxytoca																			
																			
Site:	BODY FLUID																		
			S	R	I														
Amox/K Clav'ate			1	2	0														
Ampicillin			1	2	0														
Cefotaxime			1	2	0														
Ceftriaxone			1	2	0														
Cefuroxime			1	2	0														
Chloramphenico			1	2	0														
